Node | Distance To | Previous Node in Path (-1 is unreachable, or starting node)
594 | 6.6 | 1828
595 | 1.1 | 529
596 | 0.1 | 3373
597 | 0.5 | 266
598 | 2.4 | 6461
599 | 4.7 | 1463
600 | 0.3 | 4687
601 | 0.7 | 4366
602 | 0.1 | 5158
603 | 3.1 | 7363
604 | 0.8 | 876
605 | 0.4 | 5824
606 | 3.0 | 6499
607 | 1.1 | 5030
608 | 2.8 | 5399
609 | 1.2 | 1224
610 | 0.1 | 5185
611 | 2.8 | 4769
612 | 2.7 | 2870
613 | 2.0 | 5877
614 | 4.4 | 5353
615 | 1.0 | 3503
616 | 2.1 | 6646
617 | 4.4 | 3351
618 | 2.2 | 2845
619 | 2.1 | 2759
620 | 2.1 | 4128
621 | 3.7 | 2104
622 | 0.4 | 5877
623 | 4.2 | 1373
624 | 1.0 | 6601
625 | 2.7 | 2438
626 | 2.8 | 6616
627 | 0.5 | 4168
628 | 2.4 | 1738
629 | 0.1 | 6866
630 | 3.3 | 6536
631 | 1.1 | 1404
632 | 1.0 | 959
633 | 2.2 | 689
634 | 0.9 | 7101
635 | 2.0 | 1983
636 | 1.7 | 4063
637 | 1.4 | 1853
638 | 2.2 | 814
639 | 1.2 | 5260
640 | 3.8 | 6934
641 | 1.1 | 6421
642 | 0.5 | 4119
643 | 1.9 | 188
644 | 2.7 | 837
645 | 6.3 | 5729
646 | 2.7 | 5036
647 | 0.8 | 3411
648 | 1.5 | 1552
649 | 2.0 | 2814
650 | 3.9 | 5867
651 | 0.3 | 4327
652 | 0.5 | 6319
653 | 3.3 | 6027
654 | 2.8 | 3503
655 | 1.9 | 4437
656 | 0.2 | 3213
657 | 1.0 | 3065
658 | 2.4 | 2961
659 | 2.0 | 938
660 | 3.3 | 7447
661 | 1.4 | 7316
662 | 2.3 | 1260
663 | 1.8 | 6671
664 | 0.9 | 2864
665 | 0.6 | 6227
666 | 2.6 | 5490
667 | 0.9 | 699
668 | 1.0 | 996
669 | 0.7 | 5444
670 | 1.7 | 915
671 | 0.1 | 5970
672 | 1.0 | 2292
673 | 0.3 | 4043
674 | 1.8 | 847
675 | 4.1 | 4210
676 | 3.5 | 1068
677 | 1.5 | 7209
678 | 2.6 | 1240
679 | 3.9 | 5374
680 | 0.8 | 4137
681 | 0.8 | 3713
682 | 1.7 | 1696
683 | 2.2 | 2857
684 | 2.7 | 1889
685 | 0.5 | 3416
686 | 3.5 | 4225
687 | 1.5 | 7486
688 | 4.3 | 3765
689 | 1.2 | 6114
690 | 3.8 | 3196
691 | 2.3 | 6382
692 | 2.2 | 6408
693 | 1.2 | 3936
694 | 1.3 | 7365
695 | 0.1 | 7441
696 | 0.4 | 852
697 | 0.4 | 3475
698 | 2.8 | 7242
699 | 1.5 | 264
700 | 2.6 | 3866
701 | 0.1 | 1734
702 | 1.4 | 5166
703 | 2.7 | 1282
704 | 0.7 | 4537
705 | 2.2 | 5689
706 | 2.7 | 1687
707 | 1.6 | 7206
708 | 0.3 | 5972
709 | 0.1 | 998
710 | 1.6 | 4892
711 | 3.5 | 3874
712 | 3.2 | 5775
713 | 1.1 | 1008
714 | 0.6 | 802
715 | 2.7 | 2261
716 | 2.3 | 583
717 | 1.3 | 1123
718 | 0.8 | 2790
719 | 0.8 | 5527
720 | 2.2 | 741
721 | 1.6 | 3317
722 | 2.6 | 1834
723 | 4.0 | 1568
724 | 2.2 | 2967
725 | 1.2 | 5124
726 | 1.1 | 4133
727 | 0.8 | 7019
728 | 1.2 | 2297
729 | 3.2 | 2808
730 | 1.8 | 3726
731 | 0.1 | 5019
732 | 1.8 | 3280
733 | 0.2 | 4307
734 | 3.5 | 988
735 | 4.4 | 7321
736 | 2.1 | 3606
737 | 0.5 | 4735
738 | 2.4 | 3786
739 | 3.0 | 634
740 | 2.6 | 2763
741 | 0.1 | 3880
742 | 1.7 | 3122
743 | 4.1 | 2490
744 | 2.0 | 3717
745 | 2.2 | 7144
746 | 1.9 | 6013
747 | 1.5 | 2641
748 | 0.7 | 6599
749 | 2.4 | 4924
750 | 0.3 | 6096
751 | 3.2 | 2481
752 | 3.2 | 2708
753 | 1.2 | 1078
754 | 1.9 | 3581
755 | 4.4 | 3867
756 | 1.2 | 2827
757 | 1.1 | 4179
758 | 2.3 | 5950
759 | 2.8 | 4031
760 | 3.0 | 4521
761 | 1.4 | 6423
762 | 3.1 | 660
763 | 0.2 | 7222
764 | 2.9 | 4413
765 | 1.9 | 6250
766 | 1.9 | 578
767 | 2.9 | 54
768 | 1.5 | 2763
769 | 2.7 | 3835
770 | 1.8 | 2258
771 | 3.2 | 4714
772 | 0.6 | 3205
773 | 1.9 | 5420
774 | 2.3 | 708
775 | 1.8 | 5245
776 | 2.6 | 1203
777 | 1.8 | 2048
778 | 0.3 | 2477
779 | 4.0 | 7126
780 | 4.0 | 3700
781 | 1.8 | 4210
782 | 0.7 | 6488
783 | 0.7 | 5057
784 | 3.6 | 5572
785 | 3.3 | 3345
786 | 3.0 | 1145
787 | 1.6 | 6357
788 | 0.5 | 5701
789 | 1.9 | 2924
790 | 2.1 | 1350
791 | 0.7 | 2192
792 | 4.2 | 1237
793 | 2.7 | 5366
794 | 4.3 | 829
795 | 0.8 | 5035
796 | 0.4 | 3619
797 | 3.1 | 1836
798 | 2.6 | 3257
799 | 1.8 | 800
800 | 1.6 | 5487
801 | 0.7 | 667
802 | 3.4 | 3711
803 | 1.7 | 1792
804 | 3.0 | 4137
805 | 3.5 | 57
806 | 2.0 | 3403
807 | 0.4 | 7486
808 | 0.2 | 6429
809 | 1.6 | 2304
810 | 2.4 | 3602
811 | 0.4 | 875
812 | 1.1 | 860
813 | 2.1 | 2252
814 | 2.1 | 6385
815 | 1.2 | 6505
816 | 1.3 | 5220
817 | 2.5 | 3481
818 | 2.6 | 1152
819 | 0.3 | 6415
820 | 2.3 | 3292
821 | 6.4 | 7071
822 | 1.3 | 4363
823 | 0.5 | 192
824 | 5.3 | 4644
825 | 3.8 | 4251
826 | 0.4 | 964
827 | 2.9 | 1499
828 | 0.1 | 5030
829 | 0.4 | 7006
830 | 0.2 | 2702
831 | 0.5 | 1780
832 | 1.5 | 3226
833 | 1.6 | 2683
834 | 2.9 | 6092
835 | 1.9 | 1909
836 | 1.4 | 6886
837 | 1.6 | 1259
838 | 2.9 | 4156
839 | 1.7 | 3835
840 | 1.1 | 141
841 | 0.7 | 2642
842 | 1.0 | 7343
843 | 2.3 | 338
844 | 0.2 | 513
845 | 3.6 | 6294
846 | 3.1 | 1696
847 | 0.8 | 741
848 | 0.7 | 7220
849 | 3.2 | 1839
850 | 1.7 | 3326
851 | 1.6 | 399
852 | 1.4 | 261
853 | 4.0 | 1700
854 | 0.9 | 5607
855 | 0.7 | 2738
856 | 3.6 | 6656
857 | 0.8 | 5676
858 | 0.3 | 2082
859 | 2.4 | 874
860 | 2.0 | 326
861 | 0.6 | 5467
862 | 3.2 | 7236
863 | 3.4 | 6760
864 | 5.2 | 1405
865 | 2.5 | 1
866 | 0.2 | 465
867 | 0.3 | 4676
868 | 5.7 | 2292
869 | 1.3 | 6683
870 | 3.0 | 3484
871 | 0.6 | 2667
872 | 0.5 | 518
873 | 1.9 | 7099
874 | 2.3 | 6542
875 | 0.5 | 4973
876 | 0.4 | 5750
877 | 3.0 | 3039
878 | 1.6 | 5504
879 | 0.4 | 1949
880 | 1.6 | 6274
881 | 0.6 | 3094
882 | 2.7 | 1929
883 | 0.9 | 4607
884 | 3.4 | 6555
885 | 2.1 | 2613
886 | 1.2 | 3643
887 | 3.1 | 2394
888 | 0.5 | 6003
889 | 2.2 | 1075
890 | 3.3 | 1580
891 | 0.7 | 925
892 | 3.2 | 5265
893 | 5.6 | 2377
894 | 0.5 | 931
895 | 2.5 | 6255
896 | 2.6 | 3376
897 | 3.8 | 2830
898 | 2.2 | 6296
899 | 3.2 | 3814
900 | 0.8 | 3440
901 | 1.6 | 3677
902 | 0.4 | 798
903 | 0.7 | 6605
904 | 1.3 | 980
905 | 0.3 | 2566
906 | 5.4 | 2959
907 | 1.1 | 3076
908 | 1.9 | 4496
909 | 5.0 | 3366
910 | 2.2 | 1021
911 | 3.0 | 1979
912 | 0.4 | 7328
913 | 1.1 | 1407
914 | 1.5 | 2921
915 | 1.5 | 1986
916 | 3.5 | 6555
917 | 0.6 | 6151
918 | 0.4 | 4857
919 | 1.1 | 1043
920 | 2.0 | 5623
921 | 2.0 | 7289
922 | 0.2 | 3763
923 | 1.2 | 6488
924 | 0.7 | 6618
925 | 1.0 | 3168
926 | 1.5 | 2980
927 | 1.9 | 4586
928 | 1.9 | 3003
929 | 0.3 | 4789
930 | 1.3 | 2833
931 | 0.8 | 4608
932 | 1.5 | 3019
933 | 3.3 | 6762
934 | 0.2 | 78
935 | 0.8 | 5166
936 | 1.8 | 7087
937 | 2.9 | 4394
938 | 1.4 | 7144
939 | 0.9 | 144
940 | 2.2 | 6553
941 | 3.6 | 3019
942 | 0.5 | 5226
943 | 2.2 | 1062
944 | 1.2 | 97
945 | 1.0 | 5815
946 | 0.2 | 1662
947 | 0.1 | 5015
948 | 4.4 | 2481
949 | 3.9 | 6
950 | 0.7 | 3377
951 | 1.1 | 1094
952 | 3.2 | 2259
953 | 4.3 | 596
954 | 2.0 | 580
955 | 1.2 | 5171
956 | 0.6 | 5329
957 | 3.1 | 5166
958 | 0.1 | 5612
959 | 0.5 | 7285
960 | 1.3 | 4204
961 | 1.0 | 1575
962 | 0.9 | 2921
963 | 2.1 | 2205
964 | 1.8 | 5323
965 | 0.1 | 26
966 | 0.5 | 1899
967 | 1.2 | 1048
968 | 0.5 | 5886
969 | 3.8 | 50
970 | 2.3 | 2977
971 | 2.2 | 3451
972 | 1.3 | 3195
973 | 2.4 | 5396
974 | 1.8 | 964
975 | 2.0 | 627
976 | 1.0 | 1014
977 | 2.7 | 3311
978 | 0.6 | 2043
979 | 1.0 | 3556
980 | 0.4 | 3594
981 | 2.2 | 7167
982 | 3.6 | 2890
983 | 0.5 | 3022
984 | 0.1 | 6235
985 | 2.0 | 2079
986 | 3.6 | 2161
987 | 1.8 | 5958
988 | 3.0 | 7116
989 | 1.8 | 4778
990 | 2.1 | 6090
991 | 2.7 | 5658
992 | 1.5 | 3345
993 | 3.2 | 6028
994 | 3.2 | 1991
995 | 3.8 | 4556
996 | 0.5 | 4010
997 | 2.0 | 4203
998 | 2.5 | 4848
999 | 3.2 | 1951
1000 | 5.6 | 2187
1001 | 2.4 | 2996
1002 | 0.7 | 2445
1003 | 2.5 | 4555
1004 | 1.7 | 2228
1005 | 0.5 | 3600
1006 | 0.6 | 3876
1007 | 3.0 | 5414
1008 | 1.7 | 5387
1009 | 0.9 | 4485
1010 | 2.9 | 714
1011 | 3.7 | 2209
1012 | 3.3 | 867
1013 | 0.5 | 193
1014 | 2.4 | 2909
1015 | 3.5 | 1757
1016 | 1.8 | 4423
1017 | 1.5 | 3392
1018 | 1.0 | 2179
1019 | 2.3 | 3907
1020 | 2.0 | 2545
1021 | 1.0 | 5366
1022 | 4.0 | 3235
1023 | 2.6 | 1769
1024 | 2.6 | 979
1025 | 3.6 | 6145
1026 | 9.4 | 1413
1027 | 4.6 | 6069
1028 | 0.7 | 3323
1029 | 2.6 | 589
1030 | 2.3 | 6256
1031 | 1.5 | 2909
1032 | 3.2 | 7044
1033 | 2.1 | 6149
1034 | 2.0 | 1492
1035 | 0.6 | 1593
1036 | 4.7 | 1869
1037 | 1.2 | 1378
1038 | 2.3 | 3698
1039 | 1.2 | 6448
1040 | 1.2 | 2261
1041 | 2.3 | 3921
1042 | 1.5 | 5218
1043 | 1.3 | 1698
1044 | 0.2 | 4769
1045 | 5.9 | 6380
1046 | 0.8 | 2145
1047 | 5.1 | 4854
1048 | 2.3 | 7062
1049 | 3.9 | 978
1050 | 3.0 | 6993
1051 | 0.7 | 3321
1052 | 2.4 | 3661
1053 | 2.7 | 1063
1054 | 4.8 | 943
1055 | 2.2 | 2323
1056 | 4.0 | 5958
1057 | 1.7 | 512
1058 | 2.0 | 451
1059 | 0.2 | 6249
1060 | 4.5 | 4397
1061 | 1.9 | 2568
1062 | 1.3 | 2350
1063 | 3.2 | 5353
1064 | 0.8 | 4586
1065 | 2.8 | 509
1066 | 0.4 | 5092
1067 | 1.9 | 1257
1068 | 3.6 | 2246
1069 | 0.7 | 5164
1070 | 3.4 | 1852
1071 | 2.7 | 7491
